Ranka,Country,ptsa,Year
3,Argentina,0.7,2000
4,Italy,0.7,2000
5,England,0.36,2000
6,Sweden,0.36,2000
7,France,0.32,2000
8,Hungary,0.32,2000
9,Soviet Union,0.32,2000
10,Spain,0.28,2000
11,Uruguay,0.28,2000
12,Austria,0.26,2000
13,Yugoslavia,0.26,2000
14,Belgium,0.22,2000
15,Netherlands,0.22,2000
16,Poland,0.22,2000
17,Czechoslovakia,0.2,2000
18,Chile,0.16,2000
19,United States,0.16,2000
20,Portugal,0.14,2000
21,Romania,0.14,2000
22,Switzerland,0.12,2000
23,Mexico,0.1,2000
24,Nigeria,0.1,2000
25,Peru,0.1,2000
26,Bulgaria,0.08,2000
27,Cameroon,0.08,2000
28,Northern Ireland,0.08,2000
29,Scotland,0.08,2000
30,South Korea,0.08,2000
31,Algeria,0.06,2000
32,Colombia,0.06,2000
33,Denmark,0.06,2000
34,Paraguay,0.06,2000
35,Saudi Arabia,0.06,2000
36,Iraq,0.04,2000
37,Japan,0.04,2000
38,Morocco,0.04,2000
39,Congo DR,0.04,2000
40,Australia,0.02,2000
41,Bolivia,0.02,2000
42,Canada,0.02,2000
43,Costa Rica,0.02,2000
44,Cuba,0.02,2000
45,FR Yugoslavia,0.02,2000
46,Greece,0.02,2000
47,Haiti,0.02,2000
48,Honduras,0.02,2000
49,Jamaica,0.02,2000
50,North Korea,0.02,2000
51,Norway,0.02,2000
52,Republic of Ireland,0.02,2000
53,Russia,0.02,2000
54,Tunisia,0.02,2000
55,Turkey,0.02,2000
56,United Arab Emirates,0.02,2000
57,Wales,0.02,2000
1,Brazil,1,2001
2,Germany,0.84,2001
3,Argentina,0.7,2001
4,Italy,0.7,2001
5,England,0.36,2001
6,Sweden,0.36,2001
7,France,0.32,2001
8,Hungary,0.32,2001
9,Soviet Union,0.32,2001
10,Spain,0.28,2001
11,Uruguay,0.28,2001
12,Austria,0.26,2001
13,Yugoslavia,0.26,2001
14,Belgium,0.22,2001
15,Netherlands,0.22,2001
16,Poland,0.22,2001
17,Czechoslovakia,0.2,2001
18,Chile,0.16,2001
19,United States,0.16,2001
20,Portugal,0.14,2001
21,Romania,0.14,2001
22,Switzerland,0.12,2001
23,Mexico,0.1,2001
24,Nigeria,0.1,2001
25,Peru,0.1,2001
26,Bulgaria,0.08,2001
27,Cameroon,0.08,2001
28,Northern Ireland,0.08,2001
29,Scotland,0.08,2001
30,South Korea,0.08,2001
31,Algeria,0.06,2001
32,Colombia,0.06,2001
33,Denmark,0.06,2001
34,Paraguay,0.06,2001
35,Saudi Arabia,0.06,2001
36,Iraq,0.04,2001
37,Japan,0.04,2001
38,Morocco,0.04,2001
39,Congo DR,0.04,2001
40,Australia,0.02,2001
41,Bolivia,0.02,2001
42,Canada,0.02,2001
43,Costa Rica,0.02,2001
44,Cuba,0.02,2001
45,FR Yugoslavia,0.02,2001
46,Greece,0.02,2001
47,Haiti,0.02,2001
48,Honduras,0.02,2001
49,Jamaica,0.02,2001
50,North Korea,0.02,2001
51,Norway,0.02,2001
52,Republic of Ireland,0.02,2001
53,Russia,0.02,2001
54,Tunisia,0.02,2001
55,Turkey,0.02,2001
56,United Arab Emirates,0.02,2001
57,Wales,0.02,2001
1,Brazil,1,2002
2,Germany,0.87037037,2002
3,Argentina,0.685185185,2002
4,Italy,0.685185185,2002
5,Sweden,0.37037037,2002
6,England,0.351851852,2002
7,France,0.314814815,2002
8,Hungary,0.296296296,2002
9,Soviet Union,0.296296296,2002
10,Spain,0.296296296,2002
11,Uruguay,0.277777778,2002
12,Austria,0.240740741,2002
13,Yugoslavia,0.240740741,2002
14,Belgium,0.222222222,2002
15,Poland,0.222222222,2002
16,Netherlands,0.203703704,2002
17,Czechoslovakia,0.185185185,2002
18,Portugal,0.166666667,2002
19,United States,0.166666667,2002
20,Chile,0.148148148,2002
21,Mexico,0.12962963,2002
22,Romania,0.12962963,2002
23,South Korea,0.12962963,2002
24,Cameroon,0.111111111,2002
25,Switzerland,0.111111111,2002
26,Denmark,0.092592593,2002
27,Nigeria,0.092592593,2002
28,Peru,0.092592593,2002
29,Bulgaria,0.074074074,2002
30,Japan,0.074074074,2002
31,Northern Ireland,0.074074074,2002
32,Saudi Arabia,0.074074074,2002
33,Scotland,0.074074074,2002
34,Algeria,0.055555556,2002
35,Colombia,0.055555556,2002
36,Paraguay,0.055555556,2002
37,Costa Rica,0.037037037,2002
38,Iraq,0.037037037,2002
39,Morocco,0.037037037,2002
40,Russia,0.037037037,2002
41,South Africa,0.037037037,2002
42,Tunisia,0.037037037,2002
43,Turkey,0.037037037,2002
44,Congo DR,0.037037037,2002
45,Australia,0.018518519,2002
46,Bolivia,0.018518519,2002
47,Canada,0.018518519,2002
48,China,0.018518519,2002
49,Croatia,0.018518519,2002
50,Cuba,0.018518519,2002
51,Ecuador,0.018518519,2002
52,FR Yugoslavia,0.018518519,2002
53,Greece,0.018518519,2002
54,Haiti,0.018518519,2002
55,Honduras,0.018518519,2002
56,Jamaica,0.018518519,2002
57,North Korea,0.018518519,2002
58,Norway,0.018518519,2002
59,Republic of Ireland,0.018518519,2002
60,Senegal,0.018518519,2002
61,Slovenia,0.018518519,2002
62,United Arab Emirates,0.018518519,2002
63,Wales,0.018518519,2002
1,Brazil,1,2003
2,Germany,0.87037037,2003
3,Argentina,0.685185185,2003
4,Italy,0.685185185,2003
5,Sweden,0.37037037,2003
6,England,0.351851852,2003
7,France,0.314814815,2003
8,Hungary,0.296296296,2003
9,Soviet Union,0.296296296,2003
10,Spain,0.296296296,2003
11,Uruguay,0.277777778,2003
12,Austria,0.240740741,2003
13,Yugoslavia,0.240740741,2003
14,Belgium,0.222222222,2003
15,Poland,0.222222222,2003
16,Netherlands,0.203703704,2003
17,Czechoslovakia,0.185185185,2003
18,Portugal,0.166666667,2003
19,United States,0.166666667,2003
20,Chile,0.148148148,2003
21,Mexico,0.12962963,2003
22,Romania,0.12962963,2003
23,South Korea,0.12962963,2003
24,Cameroon,0.111111111,2003
25,Switzerland,0.111111111,2003
26,Denmark,0.092592593,2003
27,Nigeria,0.092592593,2003
28,Peru,0.092592593,2003
29,Bulgaria,0.074074074,2003
30,Japan,0.074074074,2003
31,Northern Ireland,0.074074074,2003
32,Saudi Arabia,0.074074074,2003
33,Scotland,0.074074074,2003
34,Algeria,0.055555556,2003
35,Colombia,0.055555556,2003
36,Paraguay,0.055555556,2003
37,Costa Rica,0.037037037,2003
38,Iraq,0.037037037,2003
39,Morocco,0.037037037,2003
40,Russia,0.037037037,2003
41,South Africa,0.037037037,2003
42,Tunisia,0.037037037,2003
43,Turkey,0.037037037,2003
44,Congo DR,0.037037037,2003
45,Australia,0.018518519,2003
46,Bolivia,0.018518519,2003
47,Canada,0.018518519,2003
48,China,0.018518519,2003
49,Croatia,0.018518519,2003
50,Cuba,0.018518519,2003
51,Ecuador,0.018518519,2003
52,FR Yugoslavia,0.018518519,2003
53,Greece,0.018518519,2003
54,Haiti,0.018518519,2003
55,Honduras,0.018518519,2003
56,Jamaica,0.018518519,2003
57,North Korea,0.018518519,2003
58,Norway,0.018518519,2003
59,Republic of Ireland,0.018518519,2003
60,Senegal,0.018518519,2003
61,Slovenia,0.018518519,2003
62,United Arab Emirates,0.018518519,2003
63,Wales,0.018518519,2003
1,Brazil,1,2004
2,Germany,0.87037037,2004
3,Argentina,0.685185185,2004
4,Italy,0.685185185,2004
5,Sweden,0.37037037,2004
6,England,0.351851852,2004
7,France,0.314814815,2004
8,Hungary,0.296296296,2004
9,Soviet Union,0.296296296,2004
10,Spain,0.296296296,2004
11,Uruguay,0.277777778,2004
12,Austria,0.240740741,2004
13,Yugoslavia,0.240740741,2004
14,Belgium,0.222222222,2004
15,Poland,0.222222222,2004
16,Netherlands,0.203703704,2004
17,Czechoslovakia,0.185185185,2004
18,Portugal,0.166666667,2004
19,United States,0.166666667,2004
20,Chile,0.148148148,2004
21,Mexico,0.12962963,2004
22,Romania,0.12962963,2004
23,South Korea,0.12962963,2004
24,Cameroon,0.111111111,2004
25,Switzerland,0.111111111,2004
26,Denmark,0.092592593,2004
27,Nigeria,0.092592593,2004
28,Peru,0.092592593,2004
29,Bulgaria,0.074074074,2004
30,Japan,0.074074074,2004
31,Northern Ireland,0.074074074,2004
32,Saudi Arabia,0.074074074,2004
33,Scotland,0.074074074,2004
34,Algeria,0.055555556,2004
35,Colombia,0.055555556,2004
36,Paraguay,0.055555556,2004
37,Costa Rica,0.037037037,2004
38,Iraq,0.037037037,2004
39,Morocco,0.037037037,2004
40,Russia,0.037037037,2004
41,South Africa,0.037037037,2004
42,Tunisia,0.037037037,2004
43,Turkey,0.037037037,2004
44,Congo DR,0.037037037,2004
45,Australia,0.018518519,2004
46,Bolivia,0.018518519,2004
47,Canada,0.018518519,2004
48,China,0.018518519,2004
49,Croatia,0.018518519,2004
50,Cuba,0.018518519,2004
51,Ecuador,0.018518519,2004
52,FR Yugoslavia,0.018518519,2004
53,Greece,0.018518519,2004
54,Haiti,0.018518519,2004
55,Honduras,0.018518519,2004
56,Jamaica,0.018518519,2004
57,North Korea,0.018518519,2004
58,Norway,0.018518519,2004
59,Republic of Ireland,0.018518519,2004
60,Senegal,0.018518519,2004
61,Slovenia,0.018518519,2004
62,United Arab Emirates,0.018518519,2004
63,Wales,0.018518519,2004
1,Brazil,1,2005
2,Germany,0.87037037,2005
3,Argentina,0.685185185,2005
4,Italy,0.685185185,2005
5,Sweden,0.37037037,2005
6,England,0.351851852,2005
7,France,0.314814815,2005
8,Hungary,0.296296296,2005
9,Soviet Union,0.296296296,2005
10,Spain,0.296296296,2005
11,Uruguay,0.277777778,2005
12,Austria,0.240740741,2005
13,Yugoslavia,0.240740741,2005
14,Belgium,0.222222222,2005
15,Poland,0.222222222,2005
16,Netherlands,0.203703704,2005
17,Czechoslovakia,0.185185185,2005
18,Portugal,0.166666667,2005
19,United States,0.166666667,2005
20,Chile,0.148148148,2005
21,Mexico,0.12962963,2005
22,Romania,0.12962963,2005
23,South Korea,0.12962963,2005
24,Cameroon,0.111111111,2005
25,Switzerland,0.111111111,2005
26,Denmark,0.092592593,2005
27,Nigeria,0.092592593,2005
28,Peru,0.092592593,2005
29,Bulgaria,0.074074074,2005
30,Japan,0.074074074,2005
31,Northern Ireland,0.074074074,2005
32,Saudi Arabia,0.074074074,2005
33,Scotland,0.074074074,2005
34,Algeria,0.055555556,2005
35,Colombia,0.055555556,2005
36,Paraguay,0.055555556,2005
37,Costa Rica,0.037037037,2005
38,Iraq,0.037037037,2005
39,Morocco,0.037037037,2005
40,Russia,0.037037037,2005
41,South Africa,0.037037037,2005
42,Tunisia,0.037037037,2005
43,Turkey,0.037037037,2005
44,Congo DR,0.037037037,2005
45,Australia,0.018518519,2005
46,Bolivia,0.018518519,2005
47,Canada,0.018518519,2005
48,China,0.018518519,2005
49,Croatia,0.018518519,2005
50,Cuba,0.018518519,2005
51,Ecuador,0.018518519,2005
52,FR Yugoslavia,0.018518519,2005
53,Greece,0.018518519,2005
54,Haiti,0.018518519,2005
55,Honduras,0.018518519,2005
56,Jamaica,0.018518519,2005
57,North Korea,0.018518519,2005
58,Norway,0.018518519,2005
59,Republic of Ireland,0.018518519,2005
60,Senegal,0.018518519,2005
61,Slovenia,0.018518519,2005
62,United Arab Emirates,0.018518519,2005
63,Wales,0.018518519,2005
1,Brazil,1,2006
2,Germany,0.896551724,2006
3,Argentina,0.689655172,2006
4,Italy,0.689655172,2006
5,England,0.379310345,2006
6,Sweden,0.362068966,2006
7,Spain,0.327586207,2006
8,France,0.293103448,2006
9,Hungary,0.275862069,2006
10,Soviet Union,0.275862069,2006
11,Uruguay,0.25862069,2006
12,Austria,0.224137931,2006
13,Poland,0.224137931,2006
14,Portugal,0.224137931,2006
15,Yugoslavia,0.224137931,2006
16,Belgium,0.206896552,2006
17,Netherlands,0.206896552,2006
18,Czechoslovakia,0.172413793,2006
19,United States,0.172413793,2006
20,Chile,0.137931034,2006
21,Mexico,0.137931034,2006
22,South Korea,0.137931034,2006
23,Romania,0.120689655,2006
24,Switzerland,0.120689655,2006
25,Cameroon,0.103448276,2006
26,Saudi Arabia,0.103448276,2006
27,Denmark,0.086206897,2006
28,Japan,0.086206897,2006
29,Nigeria,0.086206897,2006
30,Peru,0.086206897,2006
31,Bulgaria,0.068965517,2006
32,Northern Ireland,0.068965517,2006
33,Paraguay,0.068965517,2006
34,Scotland,0.068965517,2006
35,Algeria,0.051724138,2006
36,Colombia,0.051724138,2006
37,Costa Rica,0.051724138,2006
38,Ecuador,0.051724138,2006
39,Australia,0.034482759,2006
40,Czech Republic,0.034482759,2006
41,Iraq,0.034482759,2006
42,Morocco,0.034482759,2006
43,Russia,0.034482759,2006
44,South Africa,0.034482759,2006
45,Togo,0.034482759,2006
46,Tunisia,0.034482759,2006
47,Turkey,0.034482759,2006
48,Congo DR,0.034482759,2006
49,Angola,0.017241379,2006
50,Bolivia,0.017241379,2006
51,Canada,0.017241379,2006
52,China,0.017241379,2006
53,Croatia,0.017241379,2006
54,Cuba,0.017241379,2006
55,FR Yugoslavia,0.017241379,2006
56,Ghana,0.017241379,2006
57,Greece,0.017241379,2006
58,Haiti,0.017241379,2006
59,Honduras,0.017241379,2006
60,Ivory Coast,0.017241379,2006
61,Jamaica,0.017241379,2006
62,North Korea,0.017241379,2006
63,Norway,0.017241379,2006
64,Republic of Ireland,0.017241379,2006
65,Senegal,0.017241379,2006
66,Serbia and Montenegro,0.017241379,2006
67,Slovenia,0.017241379,2006
68,Ukraine,0.017241379,2006
69,United Arab Emirates,0.017241379,2006
70,Wales,0.017241379,2006
1,Brazil,1,2007
2,Germany,0.896551724,2007
3,Argentina,0.689655172,2007
4,Italy,0.689655172,2007
5,England,0.379310345,2007
6,Sweden,0.362068966,2007
7,Spain,0.327586207,2007
8,France,0.293103448,2007
9,Hungary,0.275862069,2007
10,Soviet Union,0.275862069,2007
11,Uruguay,0.25862069,2007
12,Austria,0.224137931,2007
13,Poland,0.224137931,2007
14,Portugal,0.224137931,2007
15,Yugoslavia,0.224137931,2007
16,Belgium,0.206896552,2007
17,Netherlands,0.206896552,2007
18,Czechoslovakia,0.172413793,2007
19,United States,0.172413793,2007
20,Chile,0.137931034,2007
21,Mexico,0.137931034,2007
22,South Korea,0.137931034,2007
23,Romania,0.120689655,2007
24,Switzerland,0.120689655,2007
25,Cameroon,0.103448276,2007
26,Saudi Arabia,0.103448276,2007
27,Denmark,0.086206897,2007
28,Japan,0.086206897,2007
29,Nigeria,0.086206897,2007
30,Peru,0.086206897,2007
31,Bulgaria,0.068965517,2007
32,Northern Ireland,0.068965517,2007
33,Paraguay,0.068965517,2007
34,Scotland,0.068965517,2007
35,Algeria,0.051724138,2007
36,Colombia,0.051724138,2007
37,Costa Rica,0.051724138,2007
38,Ecuador,0.051724138,2007
39,Australia,0.034482759,2007
40,Czech Republic,0.034482759,2007
41,Iraq,0.034482759,2007
42,Morocco,0.034482759,2007
43,Russia,0.034482759,2007
44,South Africa,0.034482759,2007
45,Togo,0.034482759,2007
46,Tunisia,0.034482759,2007
47,Turkey,0.034482759,2007
48,Congo DR,0.034482759,2007
49,Angola,0.017241379,2007
50,Bolivia,0.017241379,2007
51,Canada,0.017241379,2007
52,China,0.017241379,2007
53,Croatia,0.017241379,2007
54,Cuba,0.017241379,2007
55,FR Yugoslavia,0.017241379,2007
56,Ghana,0.017241379,2007
57,Greece,0.017241379,2007
58,Haiti,0.017241379,2007
59,Honduras,0.017241379,2007
60,Ivory Coast,0.017241379,2007
61,Jamaica,0.017241379,2007
62,North Korea,0.017241379,2007
63,Norway,0.017241379,2007
64,Republic of Ireland,0.017241379,2007
65,Senegal,0.017241379,2007
66,Serbia and Montenegro,0.017241379,2007
67,Slovenia,0.017241379,2007
68,Ukraine,0.017241379,2007
69,United Arab Emirates,0.017241379,2007
70,Wales,0.017241379,2007
1,Brazil,1,2008
2,Germany,0.896551724,2008
3,Argentina,0.689655172,2008
4,Italy,0.689655172,2008
5,England,0.379310345,2008
