Season,Year,Winner,Winner_Country,Winner_Score,Opponent_Score,Opponent,Opponent_Country,Venue,Attendance
2009–10,2010,Internazionale, Italy,2,0,Bayern Munich, Germany,"Spain Santiago Bernabéu Stadium, Madrid","73,490"
2010–11,2011,Barcelona, Spain,3,1,Manchester United, England,"England Wembley Stadium, London","87,695"
2011–12,2012,Chelsea, England,1,1,Bayern Munich, Germany,"Germany Allianz Arena, Munich","62,500"
2012–13,2013,Bayern Munich, Germany,2,1,Borussia Dortmund, Germany,"England Wembley Stadium, London","86,298"
2013–14,2014,Real Madrid, Spain,4,1,Atlético Madrid, Spain,"Portugal Estádio da Luz, Lisbon","60,976"
2014–15,2015,Barcelona, Spain,3,1,Juventus, Italy,"Germany Olympiastadion, Berlin","70,442"
2015–16,2016,Real Madrid, Spain,1,1,Atlético Madrid, Spain,"Italy San Siro, Milan","71,942"
2016–17,2017,Real Madrid, Spain,4,1,Juventus, Italy,"Wales Millennium Stadium, Cardiff","65,842"
2017–18,2018,Real Madrid, Spain,3,1,Liverpool,England,"NSC Olimpiyskiy, Kyiv","61,561"
2018–19,2019,Liverpool,England,2,0,Tottenham Hotspur,England,"Estadio Metropolitano, Madrid","63,272"
2019–20,2020,Bayern Munich,Germany,1,0,Paris Saint-Germain,Germany,"Estadio do SL Benfica, Lisbon",
2020–21,2021,Chelsea,England,1,0,Manchester City,England,"Estadio do Dragao, Porto","14,110"
2021–22,2022,Real Madrid,Spain,1,0,Liverpool,England,"State de France, Saint-Denis",
2022–23,2023,,,,,,,,
